,Stvarna potrošnja,Random Forest predikcija,LSTM predikcija,Temperatura,Sat,Mjesec,Vikend
2018-03-20 23:00:00,31511.0,29751.61,28475.141985702518,3.25,23,3,0
2018-03-21 00:00:00,28890.0,27881.105,26479.856921100618,2.650000000000034,0,3,0
2018-03-21 01:00:00,26843.999999999996,25802.21,25094.382079792023,2.430000000000007,1,3,0
2018-03-21 02:00:00,25710.0,24689.78,23734.64267587662,1.8600000000000136,2,3,0
2018-03-21 03:00:00,25196.000000000004,23048.71,22949.379765224458,1.4300000000000068,3,3,0
2018-03-21 04:00:00,25090.0,23516.62,22868.235003280643,0.8600000000000136,4,3,0
2018-03-21 05:00:00,25875.999999999996,24054.43,23731.844496440888,1.8600000000000136,5,3,0
2018-03-21 06:00:00,28566.0,25671.248,26000.43795280457,2.0,6,3,0
2018-03-21 07:00:00,32349.0,27379.75,29280.63187580109,1.3000000000000114,7,3,0
2018-03-21 08:00:00,35609.0,30677.9,31961.866456317905,1.4700000000000273,8,3,0
2018-03-21 09:00:00,37055.0,27102.31,33484.66940059662,3.3600000000000136,9,3,0
2018-03-21 10:00:00,37564.0,33553.95,34277.81165246964,4.760000000000048,10,3,0
2018-03-21 11:00:00,37386.0,34871.69,34590.24083909988,7.160000000000025,11,3,0
2018-03-21 12:00:00,36817.0,35364.375,34466.21019268036,8.170000000000016,12,3,0
2018-03-21 13:00:00,36399.0,34978.89,33972.11665334702,8.980000000000018,13,3,0
2018-03-21 14:00:00,35144.0,33425.45,33284.995125103,9.78000000000003,14,3,0
2018-03-21 15:00:00,34453.0,32524.64,32664.255886840823,11.0,15,3,0
2018-03-21 16:00:00,34098.0,32580.08,32415.864965534212,10.770000000000039,16,3,0
2018-03-21 17:00:00,33758.0,31974.38,32758.202441787722,10.580000000000041,17,3,0
2018-03-21 18:00:00,33624.0,32297.51,33583.45050640107,10.0,18,3,0
2018-03-21 19:00:00,35764.0,32924.84,34461.104613971715,8.379999999999995,19,3,0
2018-03-21 20:00:00,38134.0,34250.88,34828.79906530381,6.980000000000018,20,3,0
2018-03-21 21:00:00,37260.0,33918.95,34053.29071559906,6.510000000000048,21,3,0
2018-03-21 22:00:00,34730.0,31782.08,31582.64721708298,5.350000000000023,22,3,0
2018-03-21 23:00:00,31220.0,27648.72,28428.276142692568,4.990000000000009,23,3,0
2018-03-22 00:00:00,28707.0,26745.92,26370.56921310425,3.990000000000009,0,3,0
2018-03-22 01:00:00,26709.0,24541.8,25006.149084949495,3.0,1,3,0
2018-03-22 02:00:00,25554.999999999996,23738.65,23683.298769092562,2.430000000000007,2,3,0
2018-03-22 03:00:00,25126.0,23632.74,22933.33784646988,2.430000000000007,3,3,0
2018-03-22 04:00:00,25028.0,23637.06,22886.25469284058,2.430000000000007,4,3,0
2018-03-22 05:00:00,25827.0,24186.65,23774.471561527254,1.4300000000000068,5,3,0
2018-03-22 06:00:00,28519.0,26558.9,26005.97571105957,1.0,6,3,0
2018-03-22 07:00:00,32299.000000000004,30058.35,29188.328579807283,-0.03999999999996362,7,3,0
2018-03-22 08:00:00,35376.0,31851.25,31792.557066917423,0.03000000000002956,8,3,0
2018-03-22 09:00:00,36661.0,32193.45,33279.56235961914,1.1400000000000432,9,3,0
2018-03-22 10:00:00,36992.0,33745.71,34054.262509155276,3.160000000000025,10,3,0
2018-03-22 11:00:00,36742.0,33047.83,34337.14966001511,4.360000000000014,11,3,0
2018-03-22 12:00:00,36000.0,35225.14,34193.12155323029,6.3799999999999955,12,3,0
2018-03-22 13:00:00,35613.0,33450.66,33670.130584907536,7.3799999999999955,13,3,0
2018-03-22 14:00:00,34452.0,33825.31,32950.41002206803,8.990000000000009,14,3,0
2018-03-22 15:00:00,33778.0,31643.72,32303.09540424347,10.180000000000007,15,3,0
2018-03-22 16:00:00,33175.0,30924.97,32046.971643257144,11.379999999999995,16,3,0
2018-03-22 17:00:00,32912.0,30794.57,32381.86928291321,13.0,17,3,0
2018-03-22 18:00:00,32618.0,31233.72,33233.75865278244,13.170000000000016,18,3,0
2018-03-22 19:00:00,34913.0,30189.91,34169.183201408385,12.810000000000002,19,3,0
2018-03-22 20:00:00,37292.0,34222.07666666667,34589.124985694885,10.82000000000005,20,3,0
2018-03-22 21:00:00,36570.0,32737.32,33849.28243618012,8.760000000000048,21,3,0
2018-03-22 22:00:00,34164.0,29308.413333333334,31416.262975120546,7.260000000000048,22,3,0
2018-03-22 23:00:00,30962.0,27368.24,28320.441241645814,6.2900000000000205,23,3,0
